symbol,order,side,realized_pnl,commission_paid,qty,price,datetime,side_type,entry_price,roi_pct
ETH/USDT,8389766069966154477,buy,0.25956,0.02275434,0.014,3250.62,2026-01-07 05:06:58.417,SHORT,3269.16,0.5671181587930834
XRP/USDT,136539553514,sell,-0.24024,0.01173172,10.4,2.2561,2026-01-07 05:03:18.037,LONG,2.2792,-1.0135135135135092
SOL/USDT,187791292479,buy,-0.7437,0.04697705,0.67,140.23,2026-01-07 03:19:08.562,SHORT,139.11999999999998,-0.7978723404255419
POL/USDT,3665022114,buy,0.13,0.00658059,104.0,0.12655,2026-01-07 03:18:29.044,SHORT,0.1278,0.9780907668231621
DOGE/USDT,90442717231,buy,-0.12201,0.00616648,83.0,0.14859,2026-01-07 03:00:25.052,SHORT,0.14712,-0.9991843393148445
XRP/USDT,136530073651,sell,0.36569999999999997,0.06032195,53.0,2.2763,2026-01-07 02:56:07.490,LONG,2.2694,0.3040451220586898
ETH/USDT,8389766069897483449,sell,0.169,0.0326862,0.02,3268.62,2026-01-07 02:51:38.044,LONG,3260.17,0.2591889380001601
SOL/USDT,187780281257,buy,0.1131,0.00904345,0.13,139.13,2026-01-07 02:05:38.049,SHORT,140.0,0.6214285714285747
LINK/USDT,47014049241,buy,0.4123,0.02983967,4.34,13.751,2026-01-07 02:05:36.034,SHORT,13.846,0.6861187346526119
AVAX/USDT,35995548441,sell,-0.31,0.014415,2.0,14.415,2026-01-07 01:50:21.677,LONG,14.569999999999999,-1.063829787234038
XRP/USDT,136521024776,buy,0.50854,0.06159014,54.1,2.2769,2026-01-07 01:14:02.035,SHORT,2.2862999999999998,0.4111446441849212
ADA/USDT,61690967895,buy,0.215,0.0178235,86.0,0.4145,2026-01-07 01:06:02.046,SHORT,0.417,0.599520383693046
ETH/USDT,8389766069837230200,buy,0.5068,0.09126628,0.056,3259.51,2026-01-07 00:59:37.045,SHORT,3268.5600000000004,0.27688033874244866
BTC/USDT,876534217072,buy,0.6382,0.0929166,0.002,92916.6,2026-01-07 00:52:27.062,SHORT,93235.70000000001,0.3422508760056564
DOGE/USDT,90436214184,buy,0.12464,0.01132248,152.0,0.14898,2026-01-07 00:46:52.733,SHORT,0.1498,0.5473965287049316
XRP/USDT,136517529483,buy,0.11495,0.0139277,12.1,2.3021,2026-01-07 00:41:32.564,SHORT,2.3116,0.4109707561861941
XRP/USDT,136516243079,sell,0.2262,0.01805622,15.6,2.3149,2026-01-07 00:29:53.705,LONG,2.3004000000000002,0.6303251608415908
